bin,count,mean_pred,empirical_pos
"(-0.001, 0.1]",47,0.07507799418436284,0.0851063829787234
"(0.1, 0.2]",136,0.14974169317172054,0.051470588235294115
"(0.2, 0.3]",111,0.25467884626269954,0.0990990990990991
"(0.3, 0.4]",115,0.3502241221314156,0.21739130434782608
"(0.4, 0.5]",198,0.4830981413418414,0.6515151515151515
"(0.5, 0.6]",52,0.5425858978888981,0.5192307692307693
"(0.6, 0.7]",40,0.6453530221140689,0.625
"(0.7, 0.8]",27,0.7571498759450774,0.8888888888888888
"(0.8, 0.9]",16,0.8398588071583859,0.75
"(0.9, 1.0]",95,0.9668364115936487,1.0
